s:	English
n:	_to	16
n:	par	16
n:	cio	16
n:	_ch	16
n:	ante	16
n:	ea	16
n:	era__	16
n:	ten	16
n:	ena	16
n:	_mo	16
n:	_qu	16
n:	era_	16
n:	las	16
n:	ho	16
n:	un_	15
n:	_pe	15
n:	nci	15
n:	rm	15
n:	tad	15
n:	nta	15
n:	_si_	15
n:	_gr	15
n:	de___	15
n:	de__	15
n:	de_	15
n:	od	15
n:	ero	15
n:	uer	15
n:	_por	15
n:	rd	15
n:	por	15
n:	osa__	14
n:	ian__	14
n:	ce___	14
n:	osa_	14
n:	ian_	14
n:	_al	14
n:	ce_	14
n:	ce__	14
n:	az	14
n:	ct	14
n:	me___	14
n:	rad	14
n:	me__	14
n:	me_	14
n:	tal	14
n:	ier	14
n:	ando_	14
n:	oy	14
n:	mu	14
n:	_en__	13
n:	men	13
n:	ay__	13
n:	un___	13
n:	_en_	13
n:	ay___	13
n:	dad_	13
n:	_S	13
n:	_mal_	13
n:	mal_	13
n:	tado	13
n:	ntes_	13
n:	bl	13
n:	_lu	13
n:	mar	13
n:	dad__	13
n:	_y	13
n:	ida	13
n:	ad__	13
n:	dia	13
n:	_mal	13
n:	mal	13
n:	mal__	13
n:	cas	13
n:	ima	13
n:	ria	13
n:	_in	13
n:	in_	13
n:	ad_	13
n:	in___	13
n:	in__	13
n:	ad___	13
n:	les	13
n:	_id	12
n:	_ma_	12
n:	_ma__	12
n:	esc	12
n:	yo	12
n:	por_	12
n:	ina	12
n:	ay_	12
n:	go_	12
n:	ens	12
n:	er__	12
n:	_por_	12
n:	er___	12
n:	esa	12
n:	las_	12
n:	go__	12
n:	go___	12
n:	nto	12
n:	tro	12
n:	_T	12
n:	cha	12
n:	oy_	12
n:	qui	12
n:	ul	12
n:	oy__	12
n:	oy___	12
n:	_ho	12
n:	las__	12
n:	pan	12
n:	por__	12
n:	aci	11
n:	idad_	11
n:	_est	11
n:	yo__	11
n:	yo_	11
n:	esta	11
n:	yo___	11
n:	_L	11
n:	_se_	11
n:	ert	11
n:	ante_	11
n:	com	11
n:	ano	11
n:	sp	11
n:	les__	11
n:	_la__	11
n:	_com	11
n:	_la_	11
n:	rab	11
n:	ali	11
n:	_enc	11
n:	son	11
n:	_son	11
n:	ndi	11
n:	iv	11
n:	les_	11
n:	pro	11
n:	idad	11
n:	oca	11
n:	ita	11
n:	mor	10
n:	ru	10
n:	_La	10
n:	chi__	10
n:	oh_	10
n:	cion_	10
n:	_pan	10
n:	chi_	10
n:	nes	10
n:	_oh_	10
n:	gi	10
n:	va__	10
n:	_pro	10
n:	chi	10
n:	_P	10
n:	rl	10
n:	_an	10
n:	_pi	10
n:	_chi	10
n:	ter	10
n:	_los_	10
n:	mb	10
n:	sto	10
n:	len	10
n:	oh___	10
n:	du	10
n:	cion	10
n:	_rec	10
n:	_los	10
n:	eri	10
n:	il_	10
n:	il___	10
n:	_chi_	10
n:	_oh__	10
n:	oh__	10
n:	oh	10
n:	La	10
n:	don	10
n:	_oh	10
n:	il__	10
n:	ot	10
n:	ido_	10
n:	ido__	10
n:	dia_	9
n:	sen	9
n:	dia__	9
n:	pan__	9
n:	apa	9
n:	ver	9
n:	ica	9
n:	ren	9
n:	des	9
n:	_va	9
n:	mos	9
n:	esp	9
n:	dol	9
n:	ue_	9
n:	dic	9
n:	ue__	9
n:	ue___	9
n:	tio	9
n:	ez	9
n:	rs	9
n:	_tan	9
n:	tio__	9
n:	sus	9
n:	tio_	9
n:	dr	9
n:	_su_	9
n:	nes__	9
n:	tro__	9
n:	sos_	9
n:	su__	9
n:	ama	9
n:	sos	9
n:	_me_	9
n:	str	9
n:	_me__	9
n:	eci	9
n:	ng	9
n:	_ve	9
n:	sos__	9
n:	su___	9
n:	tro_	9
n:	ell	9
n:	cer	9
n:	_su__	9
n:	su_	9
n:	_tal	9
n:	erd	9
n:	_pan_	9
n:	pan_	9
n:	be	9
n:	_D	9
n:	vio	9
n:	nes_	9
n:	uz	8
n:	una	8
n:	ico	8
n:	ano_	8
n:	co___	8
n:	_ro	8
n:	una_	8
n:	ano__	8
n:	ace	8
n:	_dic	8
n:	_fi	8
n:	co__	8
n:	con__	8
n:	pas	8
n:	fa	8
n:	tal__	8
n:	_con_	8
n:	co_	8
n:	_H	8
n:	lid	8
n:	enta	8
n:	sal	8
n:	nia	8
n:	ob	8
n:	pre_	8
n:	tant	8
n:	lt	8
n:	mbr	8
n:	rra	8
n:	_R	8
n:	una__	8
n:	ete	8
n:	_era	8
n:	tos	8
n:	raba	8
n:	_ll	8
n:	sca	8
n:	gad	8
n:	tal_	8
n:	olo	8
n:	reci	8
n:	are	8
n:	um	8
n:	oso	8
n:	nto_	8
n:	_pas	8
n:	nto__	8
n:	_vi	8
n:	Es	8
n:	lle	8
n:	llo	8
n:	_Es	8
n:	_sin	7
n:	er_	7
n:	ensa	7
n:	uen	7
n:	_yo_	7
n:	_tal_	7
n:	_yo	7
n:	_ba	7
n:	ico_	7
n:	ura	7
n:	das	7
n:	nsa	7
n:	arse	7
n:	us___	7
n:	ars	7
n:	_un_	7
n:	sus__	7
n:	sus_	7
n:	rse	7
n:	_sus	7
n:	us_	7
n:	_vo	7
n:	sin	7
n:	oi	7
n:	_un__	7
n:	_lo__	7
n:	_lo_	7
n:	us__	7
n:	_sus_	7
n:	cie	7
n:	vio_	7
n:	_V	7
n:	del	7
n:	oso_	7
n:	ici	7
n:	tos_	7
n:	_vio	7
n:	tos__	7
n:	oso__	7
n:	ral	7
n:	_ap	7
n:	ber	7
n:	stan	7
n:	ris	7
n:	das__	7
n:	_del	7
n:	das_	7
n:	tar	7
n:	tor	7
n:	cal	7
n:	ico__	7
n:	aso	7
n:	_q	7
n:	_don	7
n:	dis	7
n:	rte	7
n:	vio__	7
n:	_res	7
n:	_yo__	7
n:	_fa	7
n:	ega	7
n:	sin__	6
n:	cib	6
n:	sion	6
n:	tod	6
n:	ica_	6
n:	_oi	6
n:	nu	6
n:	llo__	6
n:	lla_	6
n:	Las_	6
n:	luz_	6
n:	is_	6
n:	gas_	6
n:	_otro	6
n:	luz	6
n:	is___	6
n:	sin_	6
n:	_cal	6
n:	oz	6
n:	ice	6
n:	con_	6
n:	ton	6
n:	_ton_	6
n:	fin	6
n:	_dice	6
n:	dice_	6
n:	acio	6
n:	hac	6
n:	_esta	6
n:	tan_	6
n:	luz__	6
n:	_hac	6
n:	_ten	6
n:	ya	6
n:	_sin_	6
n:	otro	6
n:	sto_	6
n:	_ot	6
n:	ece	6
n:	_otr	6
n:	Las__	6
n:	ere	6
n:	Ma	6
n:	llo_	6
n:	ya__	6
n:	ya___	6
n:	nos	6
n:	ya_	6
n:	is__	6
n:	sio	6
n:	eno	6
n:	lida	6
n:	art	6
n:	uin	6
n:	rado	6
n:	iar	6
n:	gur	6
n:	_luz_	6
n:	ole	6
n:	ira	6
n:	_una_	6
n:	pen	6
n:	nda	6
n:	_luz	6
n:	isi	6
n:	oda	6
n:	ser	6
n:	ili	6
n:	ica__	6
n:	_tio	6
n:	_le_	6
n:	segu	6
n:	uz__	6
n:	_le__	6
n:	_una	6
n:	gas__	6
n:	tor__	6
n:	_vio_	6
n:	_tio_	6
n:	_Las_	6
n:	edo	6
n:	_que	6
n:	Las	6
n:	rri	6
n:	nos_	6
n:	_Las	6
n:	uz___	6
n:	sto__	6
n:	aro	6
n:	otr	6
n:	_tod	6
n:	uz_	6
n:	bre	6
n:	ibi	6
n:	tor_	6
n:	ale	6
n:	_cons	5
n:	rn	5
n:	esa__	5
n:	lta	5
n:	_dis	5
n:	bla	5
n:	lia	5
n:	rse_	5
n:	cap	5
n:	don__	5
n:	rme	5
n:	va_	5
n:	va___	5
n:	tante	5
n:	_cua	5
n:	ves	5
n:	rse__	5
n:	_j	5
n:	_mar	5
n:	nsta	5
n:	sta__	5
n:	sta_	5
n:	af	5
n:	ito	5
n:	_hace	5
n:	hace	5
n:	ias__	5
n:	nf	5
n:	don_	5
n:	esa_	5
n:	_ra	5
n:	_sea	5
n:	arse_	5
n:	sea	5
n:	ima__	5
n:	_esa	5
n:	sti	5
n:	stant	5
n:	_don_	5
n:	iab	5
n:	cons	5
n:	nstan	5
n:	aso__	5
n:	car	5
n:	lidad	5
n:	nst	5
n:	mpo	5
n:	aso_	5
n:	ues	5
n:	cos	5
n:	uina	5
n:	ima_	5
n:	_seg	5
n:	sea_	5
n:	antes	5
n:	ons	5
n:	ias_	5
n:	ias	5
n:	caso_	4
n:	_esa_	4
n:	_reci	4
n:	scu	4
n:	caso	4
n:	onst	4
n:	_ya	4
n:	ron__	4
n:	ju	4
n:	caba	4
n:	_ya_	4
n:	La__	4
n:	ecib	4
n:	_hol	4
n:	_La__	4
n:	tar_	4
n:	tar__	4
n:	ocu	4
n:	rim	4
n:	_ama	4
n:	ntra	4
n:	espe	4
n:	spe	4
n:	cien	4
n:	ales_	4
n:	recib	4
n:	acion	4
n:	fe__	4
n:	erme	4
n:	lent	4
n:	ran__	4
n:	_toda	4
n:	ran_	4
n:	_La_	4
n:	eco	4
n:	imo	4
n:	hol	4
n:	const	4
n:	onsta	4
n:	capa	4
n:	_ya__	4
n:	toda	4
n:	esti	4
n:	ron_	4
n:	La_	4
n:	cibi	4
n:	fe___	4
n:	ecibi	4
n:	rto	4
n:	La___	4
n:	ron	4
n:	ales	4
n:	eter	3
n:	rima	3
n:	reco	3
n:	_dos	3
n:	leg	3
n:	_ju	3
n:	_da	3
n:	pri	3
n:	lib	3
n:	lon	3
n:	_sie	3
n:	ento_	3
n:	An	3
n:	quina	3
n:	quin	3
n:	ret	3
n:	mbre	3
n:	isc	3
n:	_es_	3
n:	afi	3
n:	cas__	3
n:	_es__	3
n:	disc	3
n:	_An	3
n:	ncon	3
n:	_reco	3
n:	mpre	3
n:	rto__	3
n:	ento	3
n:	fam	3
n:	cas_	3
n:	ques	3
n:	afin	3
n:	oba	3
n:	ric	3
n:	cont	3
n:	_disc	3
n:	mpr	3
n:	ontr	3
n:	ha___	3
n:	rima_	3
n:	ha_	3
n:	ha__	3
n:	amo	3
n:	_am	3
n:	squ	3
n:	rto_	3
n:	_fam	3
n:	jo	2
n:	lad	2
n:	id_	2
